fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,Quality
0.3557692307692308,0.1764705882352941,0.1867469879518072,0.0153374233128834,0.0682492581602374,0.1184668989547038,0.2320185614849187,0.0641989589358,0.2272727272727273,0.2441860465116278,0.6290322580645162,6
0.2884615384615385,0.3627450980392157,0.216867469879518,0.0674846625766871,0.0712166172106825,0.0905923344947735,0.3410672853828306,0.0749951802583372,0.3545454545454544,0.2093023255813953,0.7096774193548389,7
0.2211538461538461,0.0441176470588235,0.1506024096385542,0.0414110429447852,0.0919881305637982,0.0278745644599303,0.1392111368909512,0.1212647002120669,0.7454545454545456,0.4302325581395348,0.3387096774193548,6
0.2500000000000001,0.2058823529411764,0.3433734939759036,0.0061349693251533,0.1513353115727003,0.0452961672473867,0.2575406032482598,0.1019857335646791,0.3090909090909091,0.2209302325581394,0.2419354838709677,5
0.2596153846153847,0.2647058823529411,0.216867469879518,0.0030674846625766,0.0741839762611276,0.1045296167247386,0.2366589327146171,0.0445344129554641,0.3545454545454544,0.3255813953488372,0.6612903225806451,8
0.2596153846153847,0.1470588235294118,0.216867469879518,0.2407975460122699,0.086053412462908,0.1428571428571428,0.2877030162412993,0.2338538654328124,0.4909090909090907,0.2209302325581394,0.1290322580645162,5
0.326923076923077,0.2450980392156862,0.2048192771084337,0.0214723926380368,0.1038575667655786,0.205574912891986,0.3758700696055684,0.0454983612878334,0.4818181818181818,0.3604651162790698,0.8548387096774196,7
0.3365384615384615,0.1764705882352941,0.1927710843373494,0.00920245398773,0.0949554896142433,0.0940766550522648,0.1972157772621809,0.0514748409485242,0.3181818181818179,0.2674418604651162,0.6451612903225807,6
0.2115384615384616,0.2058823529411764,0.1265060240963855,0.0107361963190184,0.1364985163204748,0.1393728222996515,0.3689095127610209,0.0827067669172914,0.5454545454545453,0.2441860465116278,0.5,6
0.1153846153846154,0.2647058823529411,0.1506024096385542,0.1104294478527607,0.0652818991097922,0.0766550522648083,0.2482598607888631,0.1021785232311543,0.6090909090909092,0.2093023255813953,0.5322580645161292,6
